codigo_departamento;codigo_municipio;nombre_departamento;nombre_municipio;departamento_guid
15;15325;BOYACÁ;GUAYATÁ;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15332;BOYACÁ;GÜICÁN DE LA SIERRA;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15362;BOYACÁ;IZA;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15367;BOYACÁ;JENESANO;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15368;BOYACÁ;JERICÓ;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15377;BOYACÁ;LABRANZAGRANDE;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15380;BOYACÁ;LA CAPILLA;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15401;BOYACÁ;LA VICTORIA;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15403;BOYACÁ;LA UVITA;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15407;BOYACÁ;VILLA DE LEYVA;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15425;BOYACÁ;MACANAL;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15442;BOYACÁ;MARIPÍ;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15455;BOYACÁ;MIRAFLORES;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15464;BOYACÁ;MONGUA;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15466;BOYACÁ;MONGUÍ;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15469;BOYACÁ;MONIQUIRÁ;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15476;BOYACÁ;MOTAVITA;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15480;BOYACÁ;MUZO;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15491;BOYACÁ;NOBSA;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15494;BOYACÁ;NUEVO COLÓN;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15500;BOYACÁ;OICATÁ;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15507;BOYACÁ;OTANCHE;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15511;BOYACÁ;PACHAVITA;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15514;BOYACÁ;PÁEZ;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15516;BOYACÁ;PAIPA;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15518;BOYACÁ;PAJARITO;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15522;BOYACÁ;PANQUEBA;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15531;BOYACÁ;PAUNA;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15533;BOYACÁ;PAYA;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15537;BOYACÁ;PAZ DE RÍO;8ae009cd-eaca-475a-8282-9741ae3017eb
